No,Date,Hourly,S1,S2,S3,S4,WL01,WL02,WL03,WL04,WL05,WL06,WL07,WL08,WL09,WL10,WL11,WL12,WL13,WL14,WL15,WL16,WL17,WL18,WL19,WL20,WL21,WL22,WL23,WL24,Q02,Q04,Q05
4065.0,6/6/16 5:00 PM,17,5.0,1.0,1.7,0.3,33,26,68,100,74,-1,8,25,45,70,93,20,61,10,46,104,38,102,117,20,90,124,109,92,5330,-13500,-10800
4066.0,6/6/16 7:00 PM,19,5.4,0.9,1.4,0.3,113,99,115,126,120,-2,5,-79,-74,104,3,-92,35,12,35,115,39,-28,-4,32,76,95,63,-14,-1540,-3380,-2300
4067.0,6/6/16 9:00 PM,21,2.3,0.7,0.8,0.2,130,117,107,85,115,5,12,-158,-164,54,-86,-168,-2,17,8,65,49,-120,-97,38,20,16,-20,-100,-903,13100,11600
4068.0,6/6/16 11:00 PM,23,1.6,0.5,0.3,0.2,81,80,54,28,60,12,19,-202,-202,-28,-150,-208,-28,20,-16,10,58,-168,-143,38,-18,-38,-79,-155,5970,14200,16400
4069.0,6/7/16 1:00 AM,1,1.4,0.3,0.5,0.2,46,43,16,-13,22,12,23,-40,-62,-90,-187,-52,-43,22,-28,-37,55,-132,-171,30,-50,-78,-129,-144,7190,13700,15800
4070.0,6/7/16 3:00 AM,3,2.9,0.3,0.8,0.2,12,16,-22,-51,-13,7,19,95,69,-139,2,79,-17,22,-25,-80,49,90,5,23,-72,-107,-113,-7,8000,5690,7880
4071.0,6/7/16 5:00 AM,5,4.7,0.3,1.5,0.2,-16,-11,-50,-50,-42,-2,10,112,113,-70,97,112,-2,19,-5,0,38,163,122,17,39,10,53,104,8230,-12000,-12100
4072.0,6/7/16 7:00 AM,7,6.4,0.8,0.9,0.2,-6,5,48,82,66,-7,2,41,52,60,90,34,-19,14,-12,87,28,102,116,15,76,104,102,89,3900,-15000,-14300
4073.0,6/7/16 9:00 AM,9,3.4,0.8,0.5,0.2,98,81,100,113,106,-3,-1,-9,-11,104,17,-18,-48,11,-34,104,27,2,14,20,70,90,67,14,-2290,-5410,-4760
4074.0,6/7/16 11:00 AM,11,1.9,0.5,0.3,0.2,120,107,102,84,109,7,6,-10,-21,76,-41,-19,-33,12,-44,67,36,-29,-46,19,21,20,-2,-29,-1280,10800,6280
4075.0,6/7/16 1:00 PM,13,1.6,0.4,0.4,0.2,84,81,54,29,59,11,12,72,58,12,9,60,22,12,1,24,46,62,5,18,-4,-20,-37,37,5970,12000,12200
4076.0,6/7/16 3:00 PM,15,2.8,0.4,0.8,0.2,46,46,26,11,30,11,16,107,109,-29,88,98,55,13,30,3,45,148,110,17,42,22,40,105,6380,1290,2090
4077.0,6/7/16 5:00 PM,17,4.0,0.7,1.2,0.2,30,27,35,79,48,6,15,50,67,24,95,51,86,15,61,85,40,118,119,27,81,110,100,101,6700,-13900,-9520
4078.0,6/7/16 7:00 PM,19,4.9,0.6,1.1,0.2,93,74,105,120,112,1,9,-45,-40,76,25,-57,57,15,63,111,41,10,32,37,79,102,81,17,-504,-5950,-4480
4079.0,6/7/16 9:00 PM,21,2.6,0.5,0.7,0.2,126,110,113,101,119,8,14,-139,-138,71,-70,-146,-1,20,8,80,49,-100,-70,45,33,40,0,-84,-896,7170,8480
4080.0,6/7/16 11:00 PM,23,1.8,0.4,0.4,0.2,99,91,67,40,71,14,21,-198,-203,-4,-138,-202,-19,24,-11,23,58,-159,-135,44,-10,-24,-67,-150,3940,13800,13900
4081.0,6/8/16 1:00 AM,1,1.2,0.3,0.2,0.2,55,51,28,-4,31,16,27,-120,-131,-72,-188,-127,-45,27,-25,-25,58,-184,-169,36,-44,-68,-119,-176,7130,13700,15500
4082.0,6/8/16 3:00 AM,3,2.0,0.2,0.5,0.2,21,20,-12,-44,-6,12,24,41,26,-124,-51,36,-59,27,-38,-70,52,0,-90,30,-73,-104,-156,-13,8000,12100,12900
4083.0,6/8/16 5:00 AM,5,2.8,0.2,0.9,0.2,-9,-4,-44,-74,-38,3,15,108,100,-138,66,108,-1,24,-21,-73,43,137,84,24,8,-60,11,82,8050,-4530,-5250
4084.0,6/8/16 7:00 AM,7,6.3,0.5,1.8,0.2,-33,-25,-6,46,6,-5,8,71,80,20,101,69,4,19,3,63,33,140,130,18,63,73,84,107,7440,-16500,-12800
4085.0,6/8/16 9:00 AM,9,3.1,0.7,0.7,0.2,76,58,84,104,87,-10,1,14,15,93,50,10,-24,16,-18,95,26,44,60,22,78,104,88,50,-1500,-10900,-10100
4086.0,6/8/16 11:00 AM,11,1.8,0.5,0.4,0.2,110,100,106,103,111,4,8,-10,-20,94,-15,-20,-30,17,-29,86,34,-18,-20,27,42,52,26,-11,-1790,5410,2080
4087.0,6/8/16 1:00 PM,13,1.3,0.4,0.2,0.2,108,91,72,48,79,9,14,38,26,39,-25,38,9,17,-2,38,45,26,-34,25,3,-4,-22,5,2670,11500,10200
4088.0,6/8/16 3:00 PM,15,2.3,0.4,0.5,0.2,58,54,36,15,43,12,20,80,85,-22,47,75,27,18,14,11,49,122,66,23,6,-8,2,74,7500,7690,7430
4089.0,6/8/16 5:00 PM,17,2.7,0.4,0.9,0.2,36,29,19,42,28,9,21,73,81,-43,94,68,73,19,46,56,45,137,121,25,64,76,77,97,6940,-7180,-3470
4090.0,6/8/16 7:00 PM,19,3.7,0.5,1.3,0.2,53,43,82,104,90,4,15,-10,3,32,56,-17,70,20,53,98,42,55,70,34,81,110,89,54,3720,-8770,-6140
4091.0,6/8/16 9:00 PM,21,3.5,0.5,0.9,0.2,111,96,108,111,114,6,16,-110,-108,70,-37,-119,21,21,32,91,48,-62,-32,42,49,64,30,-52,-640,4810,2400
4092.0,6/8/16 11:00 PM,23,2.2,0.3,0.6,0.2,114,97,80,57,86,12,22,-178,-180,33,-114,-183,-11,26,3,37,57,-140,-118,46,1,-6,-45,-130,2430,13200,13600
4093.0,6/9/16 1:00 AM,1,0.9,0.3,0.3,0.2,66,56,38,8,43,16,28,-174,-177,-44,-171,-186,-30,28,-21,-15,60,-174,-159,41,-40,-58,-102,-170,6750,14700,15600
4094.0,6/9/16 3:00 AM,3,1.5,0.2,0.4,0.2,32,23,-2,-34,4,15,28,-12,-38,-101,-144,-26,-46,29,-30,-60,55,-88,-165,34,-71,-96,-146,-79,7750,13700,14700
4095.0,6/9/16 5:00 AM,5,2.6,0.2,0.8,0.2,-1,-3,-36,-69,-30,7,20,85,75,-140,17,79,-29,27,-35,-93,47,100,22,27,-62,-102,-57,46,8170,4670,760
4096.0,6/9/16 7:00 AM,7,5.6,0.3,1.4,0.2,-29,-26,-40,-22,-48,-2,12,89,90,-22,87,81,5,23,-5,30,37,143,116,20,42,26,55,99,7920,-13800,-13200
4097.0,6/9/16 9:00 AM,9,3.7,0.5,1.2,0.2,22,16,66,86,64,-8,5,37,36,72,67,26,-18,18,-13,81,27,74,85,19,70,97,90,72,2090,-14000,-11600
4098.0,6/9/16 11:00 AM,11,2.3,0.6,0.6,0.2,95,81,98,102,100,2,6,-1,-11,102,7,-16,-38,16,-31,90,31,3,1,24,55,70,48,13,-1780,-835,-2270
4099.0,6/9/16 1:00 PM,13,1.9,0.4,0.4,0.2,111,97,74,67,93,8,13,-2,-12,62,-40,-7,-5,17,-20,53,42,-12,-44,23,12,10,-8,-23,768,10400,8010
4100.0,6/9/16 3:00 PM,15,2.2,0.3,0.5,0.2,72,60,36,24,51,12,19,57,53,-1,2,53,18,17,8,16,49,78,13,20,-11,-20,-36,34,5630,10600,11700
4101.0,6/9/16 5:00 PM,17,3.0,0.4,0.8,0.2,41,31,13,9,23,11,21,76,80,-50,66,74,39,18,23,10,47,122,95,19,42,30,32,84,6570,1300,805
4102.0,6/9/16 7:00 PM,19,3.7,0.4,1.2,0.2,26,21,49,73,47,5,15,20,27,-50,69,10,55,18,39,75,42,78,80,27,69,94,79,67,6270,-9800,-7760
4103.0,6/9/16 9:00 PM,21,3.2,0.5,1.0,0.2,82,68,90,100,96,2,11,-74,-70,34,-8,-89,32,19,33,93,41,-32,-2,35,58,70,47,-20,252,-835,-324
4104.0,6/9/16 11:00 PM,23,2.0,0.4,0.7,0.2,107,92,82,66,91,8,16,-159,-153,60,-90,-163,3,22,9,45,48,-122,-93,40,6,8,-31,-107,-762,10300,10000
4105.0,6/10/16 1:00 AM,1,1.2,0.3,0.4,0.2,72,65,38,12,45,13,21,-190,-188,6,-150,-196,-21,25,-14,-7,55,-169,-148,40,-36,-48,-93,-154,5750,14800,14900
4106.0,6/10/16 3:00 AM,3,0.6,0.2,0.5,0.2,35,28,-2,-30,6,13,23,-64,-83,-62,-186,-74,-39,25,-29,-55,51,-120,-173,33,-69,-88,-139,-122,7320,14400,14300
4107.0,6/10/16 5:00 AM,5,1.9,0.2,1.0,0.2,2,-2,-36,-66,-28,6,16,44,33,-110,-37,38,-26,24,-31,-94,44,52,-43,26,-86,-116,-127,8,7930,9570,9860
4108.0,6/10/16 7:00 AM,7,2.8,0.2,1.6,0.2,-27,-27,-64,-70,-55,-4,9,90,86,-86,64,81,-3,19,-9,-10,34,130,78,19,21,-24,22,78,7920,-7910,-8640
4109.0,6/10/16 9:00 AM,9,6.8,0.3,1.9,0.2,-30,-18,33,58,36,-11,0,50,56,44,78,43,-10,15,-6,65,24,95,100,15,58,74,77,85,4480,-12400,-12900
4110.0,6/10/16 11:00 AM,11,2.9,0.7,0.9,0.2,72,54,80,93,81,-10,-3,9,4,102,32,-1,-33,12,-24,86,23,24,33,20,63,84,65,32,-1500,-5540,-7710
4111.0,6/10/16 1:00 PM,13,2.1,0.6,0.6,0.2,103,89,89,82,98,0,2,-2,-15,88,-22,-17,-13,11,-29,66,31,-10,-24,20,24,32,10,-12,-1140,6640,3950
4112.0,6/10/16 3:00 PM,15,1.7,0.4,0.4,0.2,91,83,50,36,65,5,8,34,23,20,-18,26,20,11,7,26,41,39,-17,17,-4,-10,-25,7,4320,12200,9460
4113.0,6/10/16 5:00 PM,17,2.8,0.3,0.7,0.2,49,43,21,11,33,5,13,58,58,-44,41,54,23,11,11,7,43,100,63,16,20,1,3,56,6700,6040,6160
4114.0,6/10/16 7:00 PM,19,3.5,0.4,1.1,0.2,28,23,20,39,24,2,11,39,44,-80,61,30,52,11,34,48,39,90,83,23,55,64,58,67,6400,-5640,-2450
4115.0,6/10/16 9:00 PM,21,3.8,0.5,1.4,0.2,53,40,68,85,73,-4,5,-33,-30,-30,10,-52,52,12,45,79,35,10,28,29,60,75,57,12,3350,-4180,-2450
4116.0,6/10/16 11:00 PM,23,2.3,0.4,1.0,0.2,90,75,79,75,88,-2,6,-116,-118,50,-77,-132,22,15,25,57,40,-80,-61,37,20,26,-4,-79,1010,6600,6280
4117.0,6/11/16 1:00 AM,1,1.5,0.2,0.4,0.2,77,69,48,24,53,3,11,-172,-167,55,-138,-180,-5,18,5,5,47,-150,-132,40,-25,-30,-72,-139,4160,12900,13700
4118.0,6/11/16 3:00 AM,3,0.9,0.2,0.2,0.2,38,36,8,-20,15,5,14,-110,-119,-8,-177,-110,-25,20,-16,-44,47,-155,-162,36,-62,-77,-123,-153,6700,13400,14600
4119.0,6/11/16 5:00 AM,5,2.3,0.3,0.5,0.2,5,5,-30,-57,-21,1,11,9,-1,-67,-56,1,-34,19,-31,-84,41,-16,-85,29,-86,-110,-150,-31,7690,11800,12100
4120.0,6/11/16 7:00 AM,7,3.4,0.4,0.9,0.2,-24,-22,-60,-81,-51,-9,3,79,70,-97,38,69,-3,15,-13,-60,31,102,48,21,-5,-62,-8,54,7990,-3620,-3930
4121.0,6/11/16 9:00 AM,9,6.4,0.5,1.6,0.2,-45,-36,-24,26,-11,-15,-6,66,68,4,77,59,0,11,0,43,21,116,100,13,44,45,59,85,7080,-13500,-11400
4122.0,6/11/16 11:00 AM,11,3.7,0.6,1.3,0.2,52,33,56,81,64,-16,-12,26,22,85,48,21,-18,7,-13,74,15,60,60,17,60,83,74,54,-744,-10200,-9740
4123.0,6/11/16 1:00 PM,13,3.0,0.7,0.9,0.2,92,77,86,90,92,-7,-6,-5,-15,109,-5,-20,-6,6,-16,78,21,8,0,21,40,57,35,6,-1520,-825,-322
4124.0,6/11/16 3:00 PM,15,1.8,0.5,0.5,0.2,101,89,73,56,77,-3,0,-2,-13,52,-38,-10,9,7,2,44,32,-12,-36,18,6,8,-13,-19,1520,10300,8890
4125.0,6/11/16 5:00 PM,17,3.0,0.3,0.8,0.2,61,59,37,21,44,1,7,30,26,-28,-1,16,27,7,19,10,38,46,13,19,-11,-18,-31,20,5630,11100,10500
4126.0,6/11/16 7:00 PM,19,3.4,0.4,1.0,0.2,34,28,10,5,17,0,9,32,36,-78,33,29,39,9,34,4,37,73,53,23,30,20,15,42,6820,1290,2860
4127.0,6/11/16 9:00 PM,21,3.8,0.4,1.3,0.2,21,18,26,47,31,-4,5,-8,-10,-109,21,-20,32,9,31,46,32,30,33,27,45,54,41,27,5660,-4460,-1780
4128.0,6/11/16 11:00 PM,23,2.5,0.5,0.8,0.2,55,45,55,62,62,-8,1,-81,-86,6,-49,-98,10,10,16,54,30,-46,-33,33,25,30,9,-48,2980,2920,4110
4129.0,6/12/16 1:00 AM,1,1.8,0.3,0.6,0.2,65,54,40,28,48,-5,4,-141,-146,66,-117,-155,-12,13,-2,11,35,-117,-106,36,-17,-20,-57,-115,3130,12300,11900
4130.0,6/12/16 3:00 AM,3,1.2,0.3,0.3,0.2,34,30,6,-15,13,-2,7,-136,-143,54,-163,-139,-36,15,-26,-37,37,-153,-148,33,-57,-66,-112,-148,6320,13400,14700
4131.0,6/12/16 5:00 AM,5,2.1,0.2,0.4,0.2,4,4,-26,-52,-21,-4,6,-27,-40,-20,-104,-35,-37,15,-38,-80,31,-68,-134,25,-87,-101,-146,-78,7200,12300,13700
4132.0,6/12/16 7:00 AM,7,2.8,0.2,0.7,0.2,-25,-22,-60,-81,-51,-13,-1,59,43,-68,10,49,-13,11,-19,-96,24,68,10,16,-53,-97,-53,29,7740,3970,760
4133.0,6/12/16 9:00 AM,9,6.0,0.3,1.5,0.2,-49,-42,-64,-16,-57,-22,-9,73,75,-50,67,68,-12,6,-14,11,15,119,82,8,21,10,35,80,7800,-12000,-10300
4134.0,6/12/16 11:00 AM,11,3.8,0.5,1.2,0.2,16,14,34,64,45,-25,-15,40,42,64,63,34,-5,2,-9,59,6,78,82,8,50,70,70,75,1350,-12900,-10500
4135.0,6/12/16 1:00 PM,13,2.8,0.8,0.8,0.2,75,66,73,87,82,-14,-13,-1,-9,107,12,-17,1,-1,-6,77,10,15,18,12,52,70,49,21,-1520,-4510,-5350
4136.0,6/12/16 3:00 PM,15,1.6,1.1,0.6,0.2,97,88,80,68,89,-8,-5,-25,-29,76,-35,-29,14,1,9,57,20,-15,-23,16,16,22,-4,-14,-768,7570,4710
4137.0,6/12/16 5:00 PM,17,1.8,0.6,0.7,0.2,74,70,48,28,54,-3,1,-18,-23,-12,-46,-26,7,3,7,18,31,-2,-37,21,-9,-11,-36,-24,4320,10800,11400
4138.0,6/12/16 7:00 PM,19,2.1,0.4,0.9,0.2,40,36,18,5,25,-1,5,-3,-6,-65,-24,-5,21,5,21,-7,34,28,-3,24,-14,-20,-38,-10,6130,8420,9090
4139.0,6/12/16 9:00 PM,21,2.7,0.4,1.2,0.2,19,17,-1,0,7,-4,5,2,5,-107,9,-9,11,7,9,-2,30,35,10,24,12,4,-15,23,6320,1270,6360
4140.0,6/12/16 11:00 PM,23,2.9,0.3,0.7,0.2,12,11,6,25,18,-11,-2,-53,-60,-78,-21,-69,-4,7,1,17,23,-16,-9,27,16,15,10,-15,5580,-1600,790
4141.0,6/13/16 1:00 AM,1,2.8,0.3,0.5,0.1,27,25,26,25,31,-13,-5,-110,-116,33,-90,-123,-27,6,-19,21,18,-86,-84,27,-7,-8,-36,-85,3840,6280,6620
4142.0,6/13/16 3:00 AM,3,1.6,0.2,0.2,0.1,31,22,4,-6,13,-11,-3,-124,-128,78,-141,-130,-45,7,-37,-27,21,-121,-133,23,-53,-55,-96,-124,5210,13700,10700
4143.0,6/13/16 5:00 AM,5,1.1,0.2,0.4,0.1,2,0,-28,-47,-18,-10,-2,-48,-64,42,-123,-56,-40,7,-40,-71,19,-78,-128,15,-83,-92,-136,-91,6640,11000,12500
4144.0,6/13/16 7:00 AM,7,2.1,0.2,0.6,0.1,-25,-22,-57,-76,-49,-18,-8,42,25,-25,-21,29,-33,3,-38,-96,13,42,-22,6,-76,-100,-86,3,7140,6170,4020
4145.0,6/13/16 9:00 AM,9,5.4,0.5,1.1,0.2,-49,-43,-70,-54,-63,-25,-14,77,70,-57,60,71,-1,-1,-16,-18,4,107,71,-3,3,2,20,77,6960,-8110,-9540
4146.0,6/13/16 11:00 AM,11,6.5,1.2,1.8,0.6,-20,-19,12,42,26,-27,-20,50,59,26,70,51,6,-5,-7,53,-4,104,100,-5,42,70,69,86,3170,-13200,-12500
4147.0,6/13/16 1:00 PM,13,5.0,1.3,1.4,1.0,62,54,64,83,72,-22,-19,6,6,100,35,-2,20,-8,9,76,-2,42,45,6,57,77,66,38,-1390,-8350,-9510
4148.0,6/13/16 3:00 PM,15,3.0,2.3,0.9,0.7,95,85,86,85,92,-13,-12,-33,-39,108,-25,-45,34,-4,21,70,8,-13,-16,15,33,32,16,-18,-1540,3560,1750
4149.0,6/13/16 5:00 PM,17,1.9,1.3,0.4,0.3,90,78,62,44,67,-8,-5,-48,-65,38,-75,-65,25,-2,17,26,20,-43,-57,23,-6,-12,-31,-55,2410,10800,10900
4150.0,6/13/16 7:00 PM,19,2.2,0.7,0.6,0.2,49,42,25,8,31,-5,0,-25,-34,-38,-66,-31,3,2,0,-8,28,-26,-68,25,-31,-37,-65,-40,5880,10900,12500
4151.0,6/13/16 9:00 PM,21,2.4,0.4,1.0,0.2,21,17,-4,-19,3,-8,2,-8,-9,-98,-17,-7,6,3,-2,-34,27,23,-12,24,-37,-44,-47,-6,6200,8110,7340
4152.0,6/13/16 11:00 PM,23,3.0,0.4,1.5,0.3,-1,-1,-20,-18,-13,-14,-3,-14,-15,-137,-2,-23,8,3,8,-7,20,17,5,20,5,2,-4,10,6770,1270,2670
4153.0,6/14/16 1:00 AM,1,2.5,0.3,0.8,0.2,-1,-1,7,22,16,-22,-11,-58,-65,8,-43,-69,9,1,10,20,12,-36,-34,19,9,4,1,-35,5290,1270,790
4154.0,6/14/16 3:00 AM,3,2.1,0.4,0.5,0.2,28,22,22,14,27,-20,-13,-88,-97,82,-95,-94,-10,1,-8,5,11,-80,-88,21,-26,-30,-54,-83,3840,8370,7140
4155.0,6/14/16 5:00 AM,5,1.7,0.5,0.3,0.1,21,12,-6,-21,1,-17,-9,-67,-74,85,-113,-70,-32,2,-28,-38,14,-79,-115,21,-61,-68,-98,-89,5460,11100,11100
4156.0,6/14/16 7:00 AM,7,2.3,0.5,0.5,0.1,-5,-8,-34,-52,-26,-16,-9,12,-3,22,-56,10,-2,2,-23,-69,10,2,-48,14,-76,-88,-103,-25,7130,8140,8820
4157.0,6/14/16 9:00 AM,9,2.8,0.6,0.8,0.2,-30,-26,-56,-62,-47,-24,-16,70,58,-36,44,64,-4,-2,-2,-49,4,86,40,5,-16,-30,-12,59,7140,-4030,780
4158.0,6/14/16 11:00 AM,11,5.4,1.4,2.2,0.5,-37,-33,6,19,-8,-28,-22,68,68,-20,74,66,-10,-5,-16,40,-4,107,92,8,30,50,56,86,5930,-11600,-11600
4159.0,6/14/16 1:00 PM,13,6.7,2.8,1.5,1.0,43,27,64,73,59,-28,-26,16,19,87,51,13,12,-8,0,74,-6,66,68,12,52,77,72,60,-992,-11400,-9740
4160.0,6/14/16 3:00 PM,15,4.8,2.5,1.1,1.4,87,75,85,88,87,-18,-20,-39,-38,114,-15,-51,38,-7,23,77,1,-7,-4,14,44,54,32,-4,-1400,-825,-322
4161.0,6/14/16 5:00 PM,17,3.0,2.2,0.7,1.3,98,88,62,60,82,-13,-13,-80,-88,64,-78,-96,14,-4,16,35,13,-62,-70,22,0,-2,-28,-68,896,10300,9300
4162.0,6/14/16 7:00 PM,19,2.5,1.5,0.9,0.8,59,56,30,14,39,-9,-7,-57,-73,-20,-115,-66,-11,0,-9,-5,23,-72,-108,26,-39,-42,-76,-85,5800,13000,14400
4163.0,6/14/16 9:00 PM,21,3.6,0.7,1.3,0.3,25,23,-1,-22,4,-10,-2,-14,-21,-82,-51,-17,-14,1,-17,-46,24,-9,-48,24,-63,-72,-94,-30,7070,10700,11700
4164.0,6/14/16 11:00 PM,23,3.9,1.0,1.7,0.6,-2,0,-30,-44,-23,-15,-4,9,3,-136,2,1,8,1,-1,-42,18,25,-2,16,-20,-32,-24,11,7260,1690,775
4165.0,6/15/16 1:00 AM,1,4.2,2.0,1.2,0.8,-17,-14,-16,0,-9,-24,-12,-12,-13,-64,4,-18,-14,-2,-14,18,10,9,7,12,8,11,14,15,6830,-3840,-3180
4166.0,6/15/16 3:00 AM,3,2.8,1.5,0.8,0.7,18,12,25,33,33,-27,-19,-55,-55,66,-43,-64,-32,-4,-32,33,3,-37,-33,15,11,10,-1,-28,3100,-800,-314
4167.0,6/15/16 5:00 AM,5,2.0,1.0,0.6,0.4,45,35,26,21,35,-22,-15,-63,-70,100,-88,-70,-23,-4,-28,3,8,-66,-82,11,-24,-27,-55,-68,2750,8530,7750
4168.0,6/15/16 7:00 AM,7,1.7,0.7,1.0,0.3,27,21,0,-13,8,-18,-11,-11,-26,62,-68,-17,-11,-3,-27,-35,13,-14,-66,5,-55,-60,-88,-44,5830,10900,10100
4169.0,6/15/16 9:00 AM,9,2.3,0.9,1.7,0.5,2,1,-26,-40,-18,-18,-11,48,40,-11,10,44,-8,-5,-12,-51,9,68,12,-1,-39,-48,-48,32,7010,4590,4130
4170.0,6/15/16 11:00 AM,11,4.6,1.4,2.4,0.8,-19,-15,-32,-10,-24,-24,-18,75,71,-41,67,69,23,-9,5,15,4,108,79,1,18,26,34,82,6830,-8860,-7250
4171.0,6/15/16 1:00 PM,13,6.2,2.8,1.5,1.3,9,3,36,64,45,-28,-24,30,38,60,67,25,40,-11,22,69,-2,70,76,10,47,76,72,75,3200,-10200,-9740
4172.0,6/15/16 3:00 PM,15,5.0,3.2,1.2,1.5,77,63,79,87,84,-22,-21,-35,-42,107,4,-46,-20,-8,-10,82,3,-8,2,21,50,64,52,4,-889,-4980,-4400
4173.0,6/15/16 5:00 PM,17,3.4,2.7,1.0,1.0,101,91,84,70,91,-16,-14,-100,-100,78,-76,-108,8,-4,-15,49,14,-72,-66,27,7,8,-15,-70,-768,7000,7330
4174.0,6/15/16 7:00 PM,19,2.7,2.4,1.3,0.9,78,71,44,21,50,-10,-8,-110,-120,-6,-127,-118,4,-3,7,2,24,-114,-122,21,-35,-39,-73,-116,5210,13200,14300
4175.0,6/15/16 9:00 PM,21,3.0,1.5,1.6,0.7,36,37,10,-16,16,-10,-3,-56,-69,-70,-119,-60,-25,0,-20,-42,27,-70,-127,20,-68,-77,-115,-89,7000,11900,13900
4176.0,6/15/16 11:00 PM,23,3.8,1.3,2.1,1.0,7,9,-24,-53,-18,-14,-4,13,-1,-126,-28,10,-40,0,-37,-72,22,18,-31,18,-75,-90,-95,-4,7750,8440,8290
4177.0,6/16/16 1:00 AM,1,4.5,1.4,1.8,1.0,-20,-14,-47,-44,-38,-23,-12,30,25,-152,30,21,-12,-3,-23,-23,15,48,22,9,-5,-12,3,42,8050,-4680,-1900
4178.0,6/16/16 3:00 AM,3,3.3,2.4,1.1,1.0,-19,-16,9,37,24,-27,-20,-24,-14,30,12,-31,-21,-7,-19,45,5,10,24,3,23,38,40,17,5610,-7130,-6760
4179.0,6/16/16 5:00 AM,5,2.7,2.8,0.9,1.0,54,40,52,59,62,-26,-21,-43,-45,98,-47,-51,-40,-8,-35,50,5,-31,-38,7,18,20,-6,-28,875,-805,2200
4180.0,6/16/16 7:00 AM,7,1.9,2.4,1.2,1.0,73,63,43,30,52,-20,-15,-16,-28,78,-70,-20,-38,-6,-45,1,13,-20,-59,7,-24,-28,-53,-34,2540,8990,8820
4181.0,6/16/16 9:00 AM,9,2.7,1.8,2.8,1.0,35,35,10,-6,18,-15,-11,39,31,14,-2,37,-14,-6,-24,-21,18,50,-8,2,-33,-40,-51,18,6880,8930,7140
4182.0,6/16/16 11:00 AM,11,5.9,2.5,3.4,1.0,12,13,-9,-9,0,-15,-9,76,72,-25,58,72,9,-8,-4,-2,15,113,69,-4,12,8,24,79,7320,1270,-1120
4183.0,6/16/16 1:00 PM,13,6.6,3.6,2.9,1.0,5,10,26,55,30,-20,-13,47,54,24,75,44,26,-10,14,67,11,88,95,3,47,70,73,90,5700,-10200,-9900
4184.0,6/16/16 3:00 PM,15,7.7,4.9,2.1,1.0,77,62,80,96,87,-20,-13,-20,-19,98,24,-25,52,-8,52,88,16,14,36,17,60,74,67,27,635,-5850,-5080
4185.0,6/16/16 5:00 PM,17,6.3,3.9,1.8,1.0,107,97,93,84,100,-12,-7,-90,-88,88,-52,-96,-13,4,3,65,26,-60,-40,28,28,24,2,-51,384,6600,6160
4186.0,6/16/16 7:00 PM,19,3.7,3.1,1.2,1.0,89,84,60,40,67,-7,-1,-132,-136,14,-115,-135,-29,15,-27,20,37,-118,-110,35,-14,-25,-55,-114,3200,13800,13800
4187.0,6/16/16 9:00 PM,21,2.6,2.4,1.7,1.0,48,48,22,-5,31,-4,6,-75,-104,-60,-144,-79,-10,19,-15,-26,40,-114,-146,28,-48,-70,-105,-122,6630,13400,14100
4188.0,6/16/16 11:00 PM,23,4.2,1.5,2.0,1.0,19,17,-13,-42,-4,-5,8,5,-7,-119,-49,0,-33,19,-22,-65,35,2,-65,22,-74,-101,-121,-25,7690,11000,11900
4189.0,6/17/16 1:00 AM,1,6.0,1.8,3.1,1.0,-10,-7,-42,-58,-33,-12,2,45,38,-164,24,37,-36,16,-37,-51,28,70,31,18,-11,-46,-8,46,8240,-4130,785
4190.0,6/17/16 3:00 AM,3,6.5,2.9,2.6,1.0,-25,-13,-10,30,4,-20,-5,21,18,-22,41,17,-19,12,-21,42,18,50,55,12,35,40,47,53,7080,-9450,-8420
4191.0,6/17/16 5:00 AM,5,3.6,4.7,2.2,1.0,55,47,57,73,68,-23,-10,-21,-21,79,4,-25,-37,9,-29,63,14,2,8,12,40,44,35,13,750,-6030,-5150
4192.0,6/17/16 7:00 AM,7,2.5,3.9,1.5,1.0,85,77,70,61,79,-10,-3,-22,-33,84,-49,-31,-51,9,-47,45,21,-29,-41,14,10,6,-14,-32,1140,5880,5620
4193.0,6/17/16 9:00 AM,9,4.1,3.9,2.9,1.0,67,64,42,26,52,-5,3,32,14,18,-25,20,-15,11,-27,8,30,27,-30,7,-17,-30,-48,5,5080,11000,10700
4194.0,6/17/16 11:00 AM,11,6.0,2.7,4.3,1.0,37,36,14,0,24,-3,7,73,69,-43,41,73,16,13,4,-11,30,106,51,2,2,-15,2,68,7250,4840,4580
4195.0,6/17/16 1:00 PM,13,7.0,4.3,4.9,1.0,18,21,14,35,18,-6,6,65,67,-20,74,59,28,11,18,50,26,110,97,4,48,60,68,89,7560,-7300,-6560
4196.0,6/17/16 3:00 PM,15,9.8,5.6,4.1,1.0,55,54,76,92,79,-11,0,-2,3,93,47,-5,18,10,20,91,24,40,53,18,64,83,77,46,4790,-7560,-6770
4197.0,6/17/16 5:00 PM,17,6.6,4.7,3.5,1.0,104,96,97,97,105,-6,3,-85,-78,113,-36,-89,11,14,9,81,31,-44,-31,27,39,44,24,-36,896,5220,3360
4198.0,6/17/16 7:00 PM,19,5.2,3.8,2.1,1.0,103,92,73,54,81,1,9,-139,-134,35,-103,-140,30,18,29,33,40,-114,-102,30,-6,-10,-45,-104,3840,13300,13300
